currentTick;currentActivePowerConsumption;currentActivePowerPv;currentActivePowerPvAutoConsumption;currentActivePowerPvFeedIn;currentActivePowerChp;currentActivePowerChpAutoConsumption;currentActivePowerChpFeedIn;currentActivePowerBatteryCharging;currentActivePowerBatteryDischarging;currentActivePowerBatteryAutoConsumption;currentActivePowerBatteryFeedIn;currentActivePowerExternal;currentReactivePowerExternal;currentGasPowerExternal;epsCosts;plsCosts;gasCosts;feedInCostsPV;feedInCostsCHP;autoConsumptionCosts;currentPvFeedInPrice
5760;156.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;156.0;22.0;0.0;0.001131;0.0;0.0;0.0;0.0;0.0;10.0
5820;156.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;156.0;22.0;0.0;0.001131;0.0;0.0;0.0;0.0;0.0;10.0
5880;156.0;0.0;0.0;0.0;-5056.0;-156.0;-4900.0;0.0;0.0;0.0;0.0;-4900.0;2471.0;20500.0;-0.012466666666666666;0.00475;0.04555555555555556;0.0;-0.01225;-2.1666666666666666E-4;10.0
5940;156.0;0.0;0.0;0.0;-5166.0;-156.0;-5010.0;0.0;0.0;0.0;0.0;-5010.0;2524.0;20500.0;-0.012741666666666667;0.005025;0.04555555555555556;0.0;-0.012525;-2.1666666666666666E-4;10.0
6000;156.0;0.0;0.0;0.0;-5276.0;-156.0;-5120.0;0.0;0.0;0.0;0.0;-5120.0;2577.0;20500.0;-0.013016666666666666;0.0053;0.04555555555555556;0.0;-0.0128;-2.1666666666666666E-4;10.0
6060;156.0;0.0;0.0;0.0;-5386.0;-156.0;-5230.0;0.0;0.0;0.0;0.0;-5230.0;2631.0;20500.0;-0.013291666666666667;0.005575;0.04555555555555556;0.0;-0.013075;-2.1666666666666666E-4;10.0
6120;156.0;0.0;0.0;0.0;-5496.0;-156.0;-5340.0;0.0;0.0;0.0;0.0;-5340.0;2684.0;20500.0;-0.013566666666666666;0.00585;0.04555555555555556;0.0;-0.01335;-2.1666666666666666E-4;10.0
6180;156.0;0.0;0.0;0.0;-5500.0;-156.0;-5344.0;0.0;0.0;0.0;0.0;-5344.0;2685.0;20500.0;-0.013576666666666667;0.00586;0.04555555555555556;0.0;-0.01336;-2.1666666666666666E-4;10.0
6240;156.0;0.0;0.0;0.0;-5500.0;-156.0;-5344.0;0.0;0.0;0.0;0.0;-5344.0;2685.0;20500.0;-0.013576666666666667;0.00586;0.04555555555555556;0.0;-0.01336;-2.1666666666666666E-4;10.0
6300;156.0;0.0;0.0;0.0;-5500.0;-156.0;-5344.0;0.0;0.0;0.0;0.0;-5344.0;2685.0;20500.0;-0.013576666666666667;0.00586;0.04555555555555556;0.0;-0.01336;-2.1666666666666666E-4;10.0
6360;152.0;0.0;0.0;0.0;-5500.0;-152.0;-5348.0;0.0;0.0;0.0;0.0;-5348.0;2684.0;20500.0;-0.013581111111111112;0.00587;0.04555555555555556;0.0;-0.01337;-2.111111111111111E-4;10.0
6420;152.0;0.0;0.0;0.0;-5500.0;-152.0;-5348.0;0.0;0.0;0.0;0.0;-5348.0;2684.0;20500.0;-0.013581111111111112;0.00587;0.04555555555555556;0.0;-0.01337;-2.111111111111111E-4;10.0
6480;152.0;0.0;0.0;0.0;-5500.0;-152.0;-5348.0;0.0;0.0;0.0;0.0;-5348.0;2684.0;20500.0;-0.013581111111111112;0.00587;0.04555555555555556;0.0;-0.01337;-2.111111111111111E-4;10.0
6540;152.0;0.0;0.0;0.0;-5500.0;-152.0;-5348.0;0.0;0.0;0.0;0.0;-5348.0;2684.0;20500.0;-0.013581111111111112;0.00587;0.04555555555555556;0.0;-0.01337;-2.111111111111111E-4;10.0
6600;152.0;0.0;0.0;0.0;-5500.0;-152.0;-5348.0;0.0;0.0;0.0;0.0;-5348.0;2684.0;20500.0;-0.013581111111111112;0.00587;0.04555555555555556;0.0;-0.01337;-2.111111111111111E-4;10.0
6660;152.0;0.0;0.0;0.0;-5500.0;-152.0;-5348.0;0.0;0.0;0.0;0.0;-5348.0;2684.0;20500.0;-0.013581111111111112;0.00587;0.04555555555555556;0.0;-0.01337;-2.111111111111111E-4;10.0
6720;152.0;0.0;0.0;0.0;-5500.0;-152.0;-5348.0;0.0;0.0;0.0;0.0;-5348.0;2684.0;20500.0;-0.013581111111111112;0.00587;0.04555555555555556;0.0;-0.01337;-2.111111111111111E-4;10.0
